X Y
0.015660 0.059994
0.015660 0.058594
0.015591 0.058600
0.015523 0.058590
0.015458 0.058564
0.015402 0.058525
0.015248 0.058375
0.015189 0.058334
0.015122 0.058309
0.015050 0.058300
0.014978 0.058309
0.014911 0.058334
0.014852 0.058375
0.014698 0.058525
0.014639 0.058566
0.014572 0.058591
0.014500 0.058600
0.014428 0.058591
0.014361 0.058566
0.014302 0.058525
0.014148 0.058375
0.014089 0.058334
0.014022 0.058309
0.013950 0.058300
0.013878 0.058309
0.013811 0.058334
0.013752 0.058375
0.013598 0.058525
0.013539 0.058566
0.013472 0.058591
0.013400 0.058600
0.013328 0.058591
0.013261 0.058566
0.013202 0.058525
0.013048 0.058375
0.012989 0.058334
0.012922 0.058309
0.012850 0.058300
0.012778 0.058309
0.012711 0.058334
0.012652 0.058375
0.012498 0.058525
0.012439 0.058566
0.012372 0.058591
0.012300 0.058600
0.012228 0.058591
0.012161 0.058566
0.012102 0.058525
0.011948 0.058375
0.011889 0.058334
0.011822 0.058309
0.011750 0.058300
0.011678 0.058309
0.011611 0.058334
0.011552 0.058375
0.011398 0.058525
0.011339 0.058566
0.011272 0.058591
0.011200 0.058600
0.011128 0.058591
0.011061 0.058566
0.011002 0.058525
0.010848 0.058375
0.010789 0.058334
0.010722 0.058309
0.010650 0.058300
0.010578 0.058309
0.010511 0.058334
0.010452 0.058375
0.010298 0.058525
0.010239 0.058566
0.010172 0.058591
0.010100 0.058600
0.010028 0.058591
0.009961 0.058566
0.009902 0.058525
0.009748 0.058375
0.009689 0.058334
0.009622 0.058309
0.009550 0.058300
0.009478 0.058309
0.009411 0.058334
0.009352 0.058375
0.009198 0.058525
0.009139 0.058566
0.009072 0.058591
0.009000 0.058600
0.008928 0.058591
0.008861 0.058566
0.008802 0.058525
0.008648 0.058375
0.008589 0.058334
0.008522 0.058309
0.008450 0.058300
0.008378 0.058309
0.008311 0.058334
0.008252 0.058375
0.008098 0.058525
0.008039 0.058566
0.007972 0.058591
0.007900 0.058600
0.007828 0.058591
0.007761 0.058566
0.007702 0.058525
0.007548 0.058375
0.007489 0.058334
0.007422 0.058309
0.007350 0.058300
0.007278 0.058309
0.007211 0.058334
0.007152 0.058375
0.006998 0.058525
0.006939 0.058566
0.006872 0.058591
0.006800 0.058600
0.006728 0.058591
0.006661 0.058566
0.006602 0.058525
0.006448 0.058375
0.006389 0.058334
0.006322 0.058309
0.006250 0.058300
0.006178 0.058309
0.006111 0.058334
0.006052 0.058375
0.005898 0.058525
0.005839 0.058566
0.005772 0.058591
0.005700 0.058600
0.005628 0.058591
0.005561 0.058566
0.005502 0.058525
0.005348 0.058375
0.005289 0.058334
0.005222 0.058309
0.005150 0.058300
0.001200 0.058300
0.001122 0.058290
0.001050 0.058260
0.000988 0.058212
0.000940 0.058150
0.000910 0.058078
0.000900 0.058000
0.000900 0.055850
0.000891 0.055778
0.000866 0.055711
0.000825 0.055652
0.000675 0.055498
0.000634 0.055439
0.000609 0.055372
